NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Marinēti šampinjoni Rimi Smart 280g/165g,27,0.5,0.1,2.1,1.9,2.4,1.2,7.33,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815770_PCE_LV",Iepakoti produkti,1.21
Mērce Rundāle septiņu dārza zaļumu 420g,95.6,0.2,0,22.2,15.2,1.2,2.3,3.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_164536_PCE_LV",Iepakoti produkti,1.45
Makaroni Dobele Nr.183 Chiffari Lisci 500g,362.1,2.2,0.4,72,3.4,11.2,0,2.7,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_177978_PCE_LV",Iepakoti produkti,1.35
Rīsi Valdo tvaicēti 4x125g,353,0.7,0,79.1,0,7.2,0,3.7,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_113723_PCE_LV",Iepakoti produkti,1.85
Citronu sula no koncentrāta ICA 200ml,30.1,0,0,2,2,0.5,0,3.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811800_PCE_LV",Iepakoti produkti,0.69
Auzu pārslas Rimi Smart pilngraudu 400g,414.9,7.6,1.4,68.5,1.3,13.5,0,1.72,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_809236_PCE_LV",Iepakoti produkti,0.69
Pilngraudu makaroni Rimi GreatLife Spirali 500g,356.6,3.3,0.5,63.8,3.7,12,0.1,2.78,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_806916_PCE_LV",Iepakoti produkti,1.39
Kukurūzas ciete Gustin 200g,361.6,0.6,0,88,0,0.5,0.2,8.25,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_149466_PCE_LV",Iepakoti produkti,1.65
Tortiljas Rimi Planet pilngraudu kviešu 370g,291.1,6,1.1,46.3,2.7,9.3,1,6.73,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811273_PCE_LV",Iepakoti produkti,2.49
Garšviela Maggi Idea sulīgai vistas gaļai 4 sieru 32g,432.1,24.2,15.9,38,3.7,15.5,13.5,28.44,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_163286_PCE_LV",Iepakoti produkti,0.91
Zaļās olīvas Rimi ar citronu 235g/142g,141.7,15,3,0,0,1,3.8,11.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_802896_PCE_LV",Iepakoti produkti,1.69
Pupiņas Rimi sarkanās čili mērcē 400g/200g,71.9,0.5,0,8.3,2.3,5.6,1,5.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801793_PCE_LV",Iepakoti produkti,1.09
Rīsi Rimi gargraudu 8x125g,356.6,0.4,0.1,76.5,0.3,8.8,0,2.24,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_805082_PCE_LV",Iepakoti produkti,2.24
