NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Biezpiena sieriņš Kārums šokolādes 45g,363.3,23.5,0,28,0,9.2,0,11.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_269083_PCE_LV",Piena produkti,0.52
Kefīrs Rimi ar korķi 2% 1kg,48.3,2,1.4,4.5,4.5,3,0.1,1.25,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_901968_PCE_LV",Piena produkti,1.25
Biezpiens Limbažu piens 9% 170g,157.0,9,5.2,2,2,17,0.1,8.53,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_949136_PCE_LV",Piena produkti,1.45
Grieķu jogurts Baltais bez piedevām 400g,62.4,2,1.1,2.3,2.3,9,0,3.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_902612_PCE_LV",Piena produkti,1.39
Saldais krējums Exporta 35% 500g,339.6,35,23.5,4.4,4.4,3,0.2,7.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_208556_PCE_LV",Piena produkti,3.95
Brokoļi Rimi saldēti 400g,39.0,0.9,0.2,1.8,1.5,4.4,0,2.87,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808638_PCE_LV",Piena produkti,1.15
Skābais krējums Smiltene 20% 400g,205.1,20,13.3,3.6,0,2.7,0.1,5.72,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_948169_PCE_LV",Piena produkti,2.29
Biezpiens Valmiera 5% 180g,124.3,5,0,2,0,17.7,0,5.83,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_287798_PCE_LV",Piena produkti,1.05
Mango Rimi ātri sasaldēti 400G,68.1,0.3,0.1,15,10.5,0.5,0,7.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808687_PCE_LV",Piena produkti,2.99
Kartupeļi frī Rimi 7mm saldēti 1kg,123.1,3.2,0.5,20,0.5,2.3,0.1,3.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811418_PCE_LV",Piena produkti,3.29
Burkānu kubiņu un zirnīšu maisījums Rimi ātri sasaldēts 400G,53.1,0.7,0.1,7,4.3,2.7,0.1,2.3,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811173_PCE_LV",Piena produkti,0.92
"Kefīrs Limbažu 2,5% 1l",52.6,2.5,2,4.1,4.1,2.8,0,1.65,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_259616_PCE_LV",Piena produkti,1.65
"Piens Rimi 3,5% 1l",63.1,3.5,2.3,4.7,4.7,3.2,0.1,1.09,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803749_PCE_LV",Piena produkti,1.09
Piens Marge UHT 2% 1l,50.7,2,1.2,4.8,4.8,3.3,0.1,1.89,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_263214_PCE_LV",Piena produkti,1.89
Siera nūjiņas Pik-Nik 40% 160g,293.7,20.8,14.4,0.4,0,26.7,1.5,19.94,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_121444_PCE_LV",Piena produkti,3.19
Skābais krējums Smiltene 15% 400g,161.1,15,9.6,3.7,0,2.8,0.1,2.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_948159_PCE_LV",Piena produkti,1.19
Paipalu olas Rimi 18gab.,167.1,12.6,2.7,0.8,0.4,12.7,0.3,0.09,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_809108_PCE_LV",Piena produkti,1.59
Siers Smiltene Klasiskais 50% kg,351.1,29.6,17.9,0,0,22,1.8,8.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_258750_KGM_LV",Piena produkti,8.99
Siers Smiltene Holandes 45% kg,348.2,28,17.2,0,0,25,1.5,12.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_283728_KGM_LV",Piena produkti,12.99
Biezpiens Rimi Smart 9% 180g,177.1,9,6,4,4,20,0.2,4.17,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_804224_PCE_LV",Piena produkti,0.75
Mīkla Latvijas Maiznieks kārtainā rauga 400g,383.4,22.8,11.1,37.6,5.6,6.8,0.5,7.22,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_905492_PCE_LV",Piena produkti,2.89
Grieķu jogurts Rimi bez piedevām 400g,99.7,7.5,4.5,4.7,4.7,3.5,0.1,1.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808085_PCE_LV",Piena produkti,0.79
Kefīrs Rimi 2% 1kg,48.3,2,1.4,4.5,4.5,3,0.1,1.35,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_804138_PCE_LV",Piena produkti,1.35
Ciets siers Rimi rīvēts 80g,344.2,23.3,15.4,0,0,34,2,16.88,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_805806_PCE_LV",Piena produkti,1.35
Biezpiena sieriņš Kārums piparkūku-mandarīnu 45g,344.9,21.7,14,27.6,24.1,10.1,0.1,11.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4005331_PCE_LV",Piena produkti,0.52
Triju dārzeņu maisījums Rimi ātri sasaldēts 400G,41.1,0.8,0.2,3.6,3.2,2.9,0.1,3.1,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811170_PCE_LV",Piena produkti,1.24
"Biezpiens Baltais Exporta 9%, laiviņa 250g",176.9,9,6,4,4,20,0.2,7.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_902611_PCE_LV",Piena produkti,1.99
Saldais krējums 35% Rasa 500g,329.8,35,24,3,3,2,0.1,4.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_213358_PCE_LV",Piena produkti,2.49
"Olas Rimi Iecavas kūtī dētas A/L No.2, 10 gab.",135.0,9.4,2.6,0.8,0.8,12,0.3,0.24,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815920_PCE_LV",Piena produkti,2.39
Siers Formagia mozzarella 125g,238.5,18,11.7,1.5,1.5,18,0.7,10.8,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_292575_PCE_LV",Piena produkti,1.35
Salātu siers Rimi 40% 200g,223.2,17,10.9,3.9,2.5,13.1,3,7.85,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808783_PCE_LV",Piena produkti,1.57
Rīvēta siera maisījums Džiugas picai 200g,337.7,25,17,2.7,0,26,1.9,16.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_997624_PCE_LV",Piena produkti,3.39
Biezpiena sieriņš Kārums karameļu 45g,332.0,21.4,12.9,24.1,24.1,10.5,0,11.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_269085_PCE_LV",Piena produkti,0.52
Olas Rimi kūtī dētas A/S No.2 10 gab.,135.0,9.4,2.6,0.8,0.8,12,0.3,0.2,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815921_PCE_LV",Piena produkti,1.99
Sviesta pupiņas Rimi 400g,39.0,0.4,0.1,5,2.2,2.1,0,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_804765_PCE_LV",Piena produkti,2.19
