NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Sulas dzēriens Rimi ābolu 200ml,37.5,0.1,0.1,9,9,0.1,0,1.4,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812630_PCE_LV",Dzērieni,0.28
Sula Cido tomātu 1l,23.4,0,0,5,5,0.8,0.8,1.65,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_100653_PCE_LV",Dzērieni,1.65
"Gāzēts dzēriens Schweppes Tonic 1,5l",42.3,0,0,10.2,10.2,0,0,2.1,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1352162_PCE_LV",Dzērieni,3.15
"Gāzēts bezalkoholisks dzēriens Rimi Party ar zemeņu garšu 0,75l",34.4,0,0,8.4,8.4,0.1,0,3.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1365987_PCE_LV",Dzērieni,2.99
Burkānu sula 500ml,28.2,0,0,6.1,6.1,0.1,0.1,2.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1356191_PCE_LV",Dzērieni,1.49
"ZOO MINION Multiaugļu dzēriens (slim) 0,2L",40.6,0,0,10,10,0,0,2.75,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_173576_PCE_LV",Dzērieni,0.55
Nektārs Cido vīnogu 1l,52.8,0,0,13,13,0,0,1.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_100635_PCE_LV",Dzērieni,1.99
Sula ābolu Fruti Go 100% 3l,43.0,0,0,10.5,10.3,0.1,0,1.33,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_185932_PCE_LV",Dzērieni,3.99
"Gāzēts dzēriens Sprite 1,5l",42.1,0,0,10.2,10.2,0,0,1.73,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1367096_PCE_LV",Dzērieni,2.59
"Sulas dzēriens I Love Eco ābolu, bumbieru un zemeņu 3x200ml",30.1,0.1,0,6.9,6.7,0.1,0,2.65,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811591_PCE_LV",Dzērieni,1.59
"Gāzēts dzēriens Fanta 1,5l",19.8,0,0,4.7,4.7,0,0,1.73,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1360544_PCE_LV",Dzērieni,2.59
Nektārs Rimi sarkano vīnogu 1l,48.8,0,0,12,12,0.1,0,1.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803424_PCE_LV",Dzērieni,1.59
"Gāzēts dzēriens Pepsi Max bezkaloriju, ar saldinātāju 1,5l",0.5,0,0,0.1,0,0,0,1.53,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1360393_PCE_LV",Dzērieni,2.29
"Limonāde Cēsu 1,5l",42.1,0,0,10,10,0,0,0.93,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_112844_PCE_LV",Dzērieni,1.39
Nektārs Cido ananasu 1l,48.8,0,0,12,12,0,0,1.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_106756_PCE_LV",Dzērieni,1.99
Nektārs Rimi greipfrūtu 1l,60.2,0.1,0,14,14,0.1,0,1.62,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803423_PCE_LV",Dzērieni,1.62
"ZOO MINION Aveņu dzēriens (slim) 0,2L",36.6,0,0,9,9,0,0,2.75,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_173558_PCE_LV",Dzērieni,0.55
Sulu dzēriens Rimi dažādu ogu 1l,46.8,0.1,0,11,11,0.1,0,1.65,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803334_PCE_LV",Dzērieni,1.65
"Gāzēts dzēriens Fanta Orange Zero ar saldinātāju 1,5l",1.9,0,0,0.3,0.3,0,0,1.73,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1368152_PCE_LV",Dzērieni,2.59
"Dzēriens Zoo Minions ar banānu-zemeņu garšu 0,2l",36.6,0,0,9,9,0,0,2.75,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_173583_PCE_LV",Dzērieni,0.55
Sula ābolu bumbieru 100% 3l,43.0,0,0,10.5,10.3,0.1,0,1.33,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_194905_PCE_LV",Dzērieni,3.99
"Dzēriens Mangaļi Vitafruit ar citrona un laima garšu 1,5l",12.2,0,0,3,3,0,0,1.1,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1353113_PCE_LV",Dzērieni,1.65
Nektārs Cido apelsīnu 1l,40.6,0,0,10,10,0,0,2.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1016388_PCE_LV",Dzērieni,2.59
Gāzēts dzēriens Coca-Cola 0.5l,43.0,0,0,10.6,10.6,0,0,2.7,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_102741_PCE_LV",Dzērieni,1.35
Gāzēts dzēriens Rimi ar apelsīnu garšu 2l,41.1,0,0,9.9,9.9,0,0,0.66,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1360830_PCE_LV",Dzērieni,1.32
"Sulas dzēriens I Love Eco apelsīnu, bumbieru 3x200ml",30.1,0.1,0,6,6,0.4,0,2.65,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811582_PCE_LV",Dzērieni,1.59
"Dzēriens Mangaļi Vitafruit ar plūškoka un citrona garšu 1,5l",16.0,0,0,4,4,0,0,1.1,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1367198_PCE_LV",Dzērieni,1.65
Sula Cido apelsīnu 1l,44.7,0,0,11,11,0,0,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_100652_PCE_LV",Dzērieni,2.99
"Gāzēts bezalkoholisks dzēriens Rimi Party 0,75l",43.5,0,0,10.6,10.5,0.1,0,3.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1360100_PCE_LV",Dzērieni,2.99
"Gāzēts dzēriens toniks Rimi 1,5l",32.3,0,0,7.7,7.7,0,0,0.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1360064_PCE_LV",Dzērieni,1.49
"Sula Selection by Rimi persiku, ābolu 1l",52.1,0.1,0,11.9,10.3,0.4,0,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_807930_PCE_LV",Dzērieni,2.99
Gāzēts dzēriens Pepsi Cola 2l,43.5,0,0,11,11,0,0,1.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1363367_PCE_LV",Dzērieni,2.89
Sīrups I Love Eco upeņu 500ml,35.9,0.5,0.5,7.5,7.5,0,0,9.58,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_141215_PCE_LV",Dzērieni,4.79
"Kvasa dzēriens Senču bezalkoholisks gāzēts 1,5l",24.4,0,0,6,0,0,0,0.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_113848_PCE_LV",Dzērieni,1.49
"Limonāde Gardu Muti cidoniju zelteris 0,5l",6.5,0,0,6.8,6.4,0,0,4.58,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1359855_PCE_LV",Dzērieni,2.29
Granātābolu sula Rimi 1l,66.7,0,0,11,11,0.7,0,3.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1373691_PCE_LV",Dzērieni,3.49
"Zaļā ledus tēja Rimi citrusaugļu 1,5l",28.9,0,0,7.1,7.1,0,0,0.57,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1361323_PCE_LV",Dzērieni,0.85
Sulas dzēriens Rimi Banānu un zemeņu 200ml,36.6,0,0,9,9,0,0,1.4,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815162_PCE_LV",Dzērieni,0.28
Sula Cappy apelsīnu 100% 1l,42.5,0,0,8.7,8.7,0.7,0,2.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1356011_PCE_LV",Dzērieni,2.49
Karstais dzēriens ar upenēm Rimi 1l,44.7,0,0,11,11,0,0,1.79,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815775_PCE_LV",Dzērieni,1.79
Nektārs Cido dzērveņu 30% 1l,30.6,0,0,7.5,7.5,0,0,2.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_159082_PCE_LV",Dzērieni,2.59
