NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Krūmmellenes Rimi ātri sasaldēts 400G,65.0,0.5,0.1,13.7,13.7,0.7,0,9.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811169_PCE_LV",Saldēti produkti,3.79
Maizītes kanēļa Latvijas maiznieks 320g,356.1,17.1,9.5,44.5,17.1,5.3,0.8,15.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_968662_PCE_LV",Saldēti produkti,4.99
Dārzeņi Hortex cepšanai ar austrumu garšaugiem 400g,36.6,0.3,0,4.5,0,2.2,0,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_223929_PCE_LV",Saldēti produkti,2.19
Pelmeņi Traditional ar vistas gaļu 400g,178.3,4.8,0.7,22.5,0.2,10.2,0.8,9.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_297436_PCE_LV",Saldēti produkti,3.99
Dārzeņi Hortex maisījums cepšanai 400g,63.3,1.7,0,8.5,0,2.1,0,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_223915_PCE_LV",Saldēti produkti,2.19
"Dārzeņu maisījums Rimi, zupai, ātri sasaldēts 400G",39.0,0.6,0.1,5,3.9,1.9,0.1,3.62,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811587_PCE_LV",Saldēti produkti,1.45
Spināti Rimi griezti saldēti 400g,21.7,0.4,0.1,0.6,0.2,2.8,0.1,3.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801484_PCE_LV",Saldēti produkti,1.59
Upenes Rimi ātri sasaldēts 400G,39.0,0,0,6.6,6.6,0.9,0.1,8.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811168_PCE_LV",Saldēti produkti,3.59
Garneles Rimi vārītas 31/40 mizotas ar asti ātri sasaldētas kg,54.0,0.6,0.2,0,0,12,1.2,25.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_813941_KGM_LV",Saldēti produkti,25.99
Avenes Rimi saldētas 400g,28.9,0,0,4.5,4,1.4,0,11.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811678_PCE_LV",Saldēti produkti,4.59
Dārzeņi Hortex mix mehiko 400g,56.4,0.4,0,7.5,0,3.6,0,6.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_224240_PCE_LV",Saldēti produkti,2.79
Kartupeļi frī Long&Crunchly saldēti 600g,166.3,4.9,2.9,26.4,2.5,2.5,0.1,5.32,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_298205_PCE_LV",Saldēti produkti,3.19
Saldējums Karlsons ar ievārījumu 100ml/80g,301.6,21,14,26,26,1.8,0.1,12.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_208435_PCE_LV",Saldēti produkti,0.99
Biezpiena plācenīši Ekspresso cepti 500g,208.4,5.2,0.4,24.4,10.7,15.6,0.1,9.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_951196_PCE_LV",Saldēti produkti,4.99
Dārzeņi Hortex VIP salāti,39.0,0.4,0,5.4,0,1.9,0,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_223910_PCE_LV",Saldēti produkti,2.19
Saldējums Tio vaniļas plombīra 1000ml/450g,204.8,12,7.9,20,20,2.8,0,8.2,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_297884_PCE_LV",Saldēti produkti,3.69
"FARM FRITES kartupeļi frī cepeškrāsnij rievoti ""Oven Crinkle"" 750 g",93.9,4.9,2,26.4,0.4,2.5,0.1,4.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_207285_PCE_LV",Saldēti produkti,3.29
Kārtainā bezrauga mīkla plāksnēs saldēta 500g,361.9,22,15,35,1.6,5.5,1,5.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_277284_PCE_LV",Saldēti produkti,2.95
"Aveņu-krūmmelleņu mais, sasald,Rimi400g",56.4,0,0,13.8,9.2,0.5,0,9.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812718_PCE_LV",Saldēti produkti,3.99
Garneles Rimi ar čaulu 16/20 nevārītas saldētas kg,66.0,0.8,0.3,0,0,15,1.1,22.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812957_KGM_LV",Saldēti produkti,22.99
Pelmeņi Viči khinkali ar gaļu 400g,264.1,15.6,4.6,22.5,0.2,7.7,1,11.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_920467_PCE_LV",Saldēti produkti,4.79
Pica Rimi Express četru sieru saldēta 345g,232.1,8.1,3.5,28.9,4.4,9.6,1.4,4.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812879_PCE_LV",Saldēti produkti,1.69
Kārtainā mīkla Rimi ātri sasaldēta 500g,380.0,25.3,12.9,32.1,3.6,5.3,0.8,5.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_809661_PCE_LV",Saldēti produkti,2.99
Kartupeļu daiviņas ar mizu apceptas Rimi 1kg,120.0,3.5,0.5,19,0.5,2.2,0.1,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811420_PCE_LV",Saldēti produkti,2.99
Pelmeņi Rīgas miesnieks mini ar cāļa gaļu 450g,178.8,2.3,1,28,1.1,11,1,7.53,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_996275_PCE_LV",Saldēti produkti,3.39
Kārtainā mīkla Selection by Rimi ar sviestu saldēta 400g,359.5,21.6,14.2,34.4,5.3,6.4,0.5,9.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803757_PCE_LV",Saldēti produkti,3.99
Dārzeņu maisījums Rimi havajiešu gaumē saldēts 400g,98.9,0.4,0.1,19.5,2.2,3.2,0,4.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801518_PCE_LV",Saldēti produkti,1.99
Pica Quattro Formaggi Rimi 570g,252.4,11.2,5.6,24.3,3.2,12.6,1.1,9.63,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_810803_PCE_LV",Saldēti produkti,5.49
"Saldējums Rūjiena dzērveņu, konusā 110ml/65g",250.5,11.6,7.3,31.8,23.5,4.6,0.2,13.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_209595_PCE_LV",Saldēti produkti,0.89
Pelmeņi Mazulīši 700g,197.2,5.3,1.2,27.1,0.1,9.7,1.1,5.7,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_944329_PCE_LV",Saldēti produkti,3.99
Dārzeņi Hortex cepšanai ar papriku 400g,71.7,1.5,0,11.2,0,2.1,0,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_223916_PCE_LV",Saldēti produkti,2.19
Saldējums Rūjienas aveņu konuss 110ml/60g,246.9,10.6,7.5,34.1,24.6,3.4,0.1,14.83,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_209596_PCE_LV",Saldēti produkti,0.89
Pelmeņi Zaļā marka ar vistas gaļu 1kg,186.4,3.9,0,27.5,0,10.3,0,4.79,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_291891_PCE_LV",Saldēti produkti,4.79
Bagete Latvijas Maiznieks Izcep pats ar ķiploku un zaļumu sviestu 175g,285.1,10,6.2,40,2.5,7.2,1.3,11.37,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_977023_PCE_LV",Saldēti produkti,1.99
Zivju pirkstiņi Viči saldēti 250g,222.0,9,0.7,26,1.4,8,0,7.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_201829_PCE_LV",Saldēti produkti,1.99
"Saldējums Rūjienas šokolādes ar brūkleņu piedevu, šokolādes konusā 110ml/65g",272.9,11.8,8.3,37.3,28.2,4.5,0.3,13.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_968150_PCE_LV",Saldēti produkti,0.89
Lazanja Rimi ar Boloņas mērci saldēta 400g,166.6,8.8,2.4,15.6,2.5,5.6,1.1,8.72,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801151_PCE_LV",Saldēti produkti,3.49
"Maizītes ābolu, īrisa saldētas 6gab.",380.3,16.6,0,52.1,25.4,5.3,0.5,8.73,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_294816_PCE_LV",Saldēti produkti,4.19
Pelmeņi Lido ar cāļa gaļu 360g,301.6,18,5.5,26,0.2,9,1.3,13.86,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003186_PCE_LV",Saldēti produkti,4.99
Sojas pupiņas Nice N Easy lobītas 400g,130.5,6.4,0.7,4.9,1.7,11,0,6.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4002210_PCE_LV",Saldēti produkti,2.79
Saldēti dārzeņi Hortex ziemas zupa 450g,32.0,0.5,0.1,3.5,2.7,2.1,0.1,5.0,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_958641_PCE_LV",Saldēti produkti,2.25
Zivju filejas pirkstiņi Vici saldēti 250g,199.6,8,0.8,19,1.7,12,1,15.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_206052_PCE_LV",Saldēti produkti,3.99
Dārzeņi Rimi ķīniešu gaumē cepšanai 400g,32.0,0.2,0,4.2,2.3,2.3,0,4.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808967_PCE_LV",Saldēti produkti,1.99
"Pica Rimi Smart ar salami, Edam un Mozzarella sieru 340g",257.9,10.2,3.9,29.5,3.4,10.7,1.2,4.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815843_PCE_LV",Saldēti produkti,1.69
