NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Vegānu burgeri V-ego ar brokoļiem 200g,132.9,2.3,0.4,14.9,4.5,11.8,1.3,14.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_982122_PCE_LV",Produkti vegāniem un veģitāriešiem,2.89
Tere Deary glazēts tofu šokolādes batoniņš 40g,363.3,25,18,25,23,11,0.4,19.75,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_996239_PCE_LV",Produkti vegāniem un veģitāriešiem,0.79
Vegānu burgeri V-ego ar spinātiem 200g,163.0,2.5,0.5,18.5,5.4,14.7,1.4,14.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_982123_PCE_LV",Produkti vegāniem un veģitāriešiem,2.89
Auzu dzēriens Oatly barista edition 1L,61.4,3,0.3,7.1,3.4,1.1,0.1,3.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_993139_PCE_LV",Produkti vegāniem un veģitāriešiem,3.29
Tere Deary glazēts tofu batoniņš ar vaniļas garšu 40g,363.3,26,17,25,23,11,0.4,19.75,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_996260_PCE_LV",Produkti vegāniem un veģitāriešiem,0.79
Glazēts tofu batoniņš Tere Deary ar dzērveņu garšu 40g,346.6,22,14,27,25,10.4,0.3,19.75,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4002498_PCE_LV",Produkti vegāniem un veģitāriešiem,0.79
Mandeļu dzēriens The Bridge bez cukura BIO 1l,5.3,1.7,0.2,0.6,0.1,0.7,0,3.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_938412_PCE_LV",Produkti vegāniem un veģitāriešiem,3.49
Auzu dzēriens Valsoia bez pievienotā cukura 1l,44.9,1.1,0.2,7.5,5,0.5,0.1,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_997262_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
Auzu un sojas dzēriens Berief Barista EKO 1l,55.4,2,0.3,7.8,5.6,1.4,0.1,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_993231_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
Sojas dzēriens I Love Eco 1l,39.9,2.3,0,0.9,0.8,4,0,2.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808592_PCE_LV",Produkti vegāniem un veģitāriešiem,2.59
Vegānu nageti V-ego 200g,217.0,8.7,1.6,26.3,4.3,8.3,1.7,16.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_981614_PCE_LV",Produkti vegāniem un veģitāriešiem,3.39
Jogurts Planton Panna cotta vegāniem 130g,175.7,13,12,14,8.9,0.8,0,14.54,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_993580_PCE_LV",Produkti vegāniem un veģitāriešiem,1.89
Zirņu desiņas Well Well 200g,246.2,20.1,7.9,6.3,0.7,8.8,1.6,16.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_993790_PCE_LV",Produkti vegāniem un veģitāriešiem,3.39
Kokosriekstu rīsu dzēriens Alpro 1l,20.3,0.9,0.9,2.7,1.9,0.1,0.1,2.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_909336_PCE_LV",Produkti vegāniem un veģitāriešiem,2.45
Sojas dzēriens Valsoia ar kalciju 1l,44.9,2,0.4,3.4,2.9,3.3,0.2,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_916387_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
"Rīsu saldējums Rūjienas Saldējums ar mango garšu, vegānisks 125ml/75g",192.9,3,2.6,36,9.1,1.1,0,10.0,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_998510_PCE_LV",Produkti vegāniem un veģitāriešiem,0.75
Kokosriekstu augu dzēriens bez cukura ar kalciju un vitamīniem 1L,10.8,1.1,0.9,0.1,0,0.1,0.1,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1010060_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
