NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
"Siera cepumi Rimi, kg",462.2,29.2,12.7,39.6,1.7,10,0.6,7.79,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_814056_KGM_LV",Saldumi,7.79
Musli batoniņš Rimi ar banāniem un piena šokolādi 30g,419.0,14,8.8,68,37,3.8,0.1,11.67,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815922_PCE_LV",Saldumi,0.35
Šokolāde Schogetten Coconut Macaroon 100g,552.8,35,21,52,50,5.8,0.1,22.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1019030_PCE_LV",Saldumi,2.29
Auzu pārslu cepumi Flora 300g,498.6,24,60,8,22,24,0,13.3,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_142794_PCE_LV",Saldumi,3.99
Auzu cepumi Pie tējas 300g,418.0,14.3,3.3,67.2,32.1,5.7,0.4,5.3,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1003868_PCE_LV",Saldumi,1.59
Cepumi Pētergailis klasika 160g,438.1,13,5.7,71,21,8.7,0.3,6.81,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1000976_PCE_LV",Saldumi,1.09
Batoniņš Mabaker auzu pārslu ar dzērvenēm 90g,448.9,19.5,7.2,61.3,25.9,6.2,0.1,16.11,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_192455_PCE_LV",Saldumi,1.45
Košļājamā gumija Orbit Sweet Mint 14g,151.5,0,0,63.4,0,0,0,70.71,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_103156_PCE_LV",Saldumi,0.99
Ledenes Lockets ar medu un vitamīnu C 41g,379.8,0,0,94.2,91.6,0,0,12.2,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_103749_PCE_LV",Saldumi,0.5
Kartupeļu čipsi Lay's ar krējuma un garšaugu garšu 200g,527.5,32,2.7,52,1.9,6.2,1.7,17.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_192788_PCE_LV",Saldumi,3.49
