NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Pomelo ,38,0,0,10,0,0.8,0,1.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_211258_KGM_LV",Augļi un Dārzeņi,1.29
Brokoļi RIMI 350 g,34,0.4,0,7,1.7,2.8,0.31,3.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_978280_PCE_LV",Augļi un Dārzeņi,1.29
Kazenes Rimi,43,0.5,0,9.6,4.9,1.4,0,31.92,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_904709_PCE_LV",Augļi un Dārzeņi,3.99
Bietes kg,43,0.2,0,10,7,1.6,0.07,0.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_271831_KGM_LV",Augļi un Dārzeņi,0.69
"Štovēti kāposti paciņā 0,5kg",102,6,0.4,8.4,4,1.7,1.7,4.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_265067_PCE_LV",Augļi un Dārzeņi,2.19
Melone dzeltenā,36,0.1,0,9.1,8.1,0.5,0.01,1.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_268817_KGM_LV",Augļi un Dārzeņi,1.99
Seleriju kāti Rimi 450g,15,0.1,0,1.5,1,0.5,0.1,3.53,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_297913_PCE_LV",Augļi un Dārzeņi,1.59
Kivi kalibrs,61,0.5,0,15,9,1.1,0,3.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_213197_KGM_LV",Augļi un Dārzeņi,3.99
Dilles 30g,43,1.1,0.1,7,0,3.5,0.06,26.33,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_214050_PCE_LV",Augļi un Dārzeņi,0.79
Līčija,66,0.44,0,16.53,15.23,0.83,0,9.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_277285_KGM_LV",Augļi un Dārzeņi,9.99
