NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Desiņas cāļa šķiņķa ar sieru kg,180.9,11.9,4.3,2.8,0.1,15,1.7,11.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_978134_KGM_LV",Gaļas produkti,11.99
Konservēts šķiņķis ICA pastai un piknikam 325g,106.8,4,1.5,1.5,1.5,16,2.4,17.51,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_814344_PCE_LV",Gaļas produkti,5.69
Liellopa gaļa Aibi 290g/240g,195.0,14,4.5,0.3,0.3,17.1,0.7,10.63,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_975034_PCE_LV",Gaļas produkti,2.55
"Sviestmaize Rimi graudu ar vistu saldajā čili, ceptu papriku un spinātiem 170g",219.9,7.4,1.6,28,5.7,8.9,1.3,18.53,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_814722_PCE_LV",Gaļas produkti,3.15
Anšovu pasta Acomer Premium 60g,176.9,11.5,2.3,0.5,0,18,19,49.17,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_996237_PCE_LV",Gaļas produkti,2.95
Foreles gabaliņi karsti kūpinātas kg,114.7,4,0.6,0,0,20,3,21.19,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_999274_KGM_LV",Gaļas produkti,21.19
Ikru smēriņš Viči ar garnelēm 160g,342.5,34,2.6,4.9,4.5,5.4,1.5,22.44,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003350_PCE_LV",Gaļas produkti,3.59
Sterilizēti konservi Pure Meat Vistas Podiņš 325g,116.9,3.8,1,0.1,0,20.4,1,7.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003153_PCE_LV",Gaļas produkti,2.59
Tunča pastēte Pata Negra 110g,181.6,12.5,1.5,8.3,0.5,9.2,1.3,18.09,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_996259_PCE_LV",Gaļas produkti,1.99
"Salami Rēzeknes pīles, pusžāvēta 300g",259.6,20.9,7.3,3.2,0.7,15.2,2.6,12.63,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004786_PCE_LV",Gaļas produkti,3.79
"Cūkgaļas servelāde Rēzeknes ar mēli, pusžāvētā 400g",240.7,18.3,6.4,2.7,0.6,16.7,2.7,11.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004787_PCE_LV",Gaļas produkti,4.79
Pīles kājas konfits De Lukss lēni pagatavots 520g,124.8,5.6,2.1,1.3,0.5,17.3,1.4,24.02,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004802_PCE_LV",Gaļas produkti,12.49
Cūkgaļas šnicele Rīgas Miesnieks 370g,273.2,16,5.8,19,4.5,13,1.3,9.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004850_PCE_LV",Gaļas produkti,3.69
Brieža gaļas servelāde De Lukss ar sieru un pistācijām 250g,343.7,28.7,11,1.4,0.5,19.8,2,17.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004828_PCE_LV",Gaļas produkti,4.49
Šprotes tomātu mērcē ar atslēdziņu 160g,182.6,11.8,0,3,0,16.3,0,20.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_220110_PCE_LV",Gaļas produkti,3.29
Gliemeņu gaļa Vilsund Blue marinādē MSC 340g/200g,109.9,2.9,0,4.1,0,16.4,0,15.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_201246_PCE_LV",Gaļas produkti,3.19
Siļķu filejas gabaliņi marinādē 200g/115g,191.0,11,2.3,1,0.5,21.9,1.9,16.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_930874_PCE_LV",Gaļas produkti,1.95
Liellopu gaļa Mārupes desu darbnīca kūpināti vārīta kg,109.0,4,1.4,0.8,0.2,17.4,1.8,16.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_973896_KGM_LV",Gaļas produkti,16.99
Cūkgaļas šašliks Savējiem kg,132.4,7.4,2.1,0.8,0.6,15.7,0.9,7.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_2000224_KGM_LV",Gaļas produkti,7.99
Siļķe ar burkāniem marinādē 330g/232g,175.0,12.6,0.6,0.8,0,14.9,3.5,12.03,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_276702_PCE_LV",Gaļas produkti,2.79
"Sautēta aļņa gaļa, sterilizēti konservi /bundža 250g/",272.7,23.2,9,0.3,0,16.3,1.1,13.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_966956_PCE_LV",Gaļas produkti,3.39
Pusspārnu augšdaļas Ķekava karsti kūpinātas 300g,164.0,10,2.3,0.6,0.5,18,1.5,13.3,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_987825_PCE_LV",Gaļas produkti,3.99
Cāļa pusspārni Rīgas Miesnieks asie 400g,167.3,8.8,4.9,2,1.3,20,1.4,7.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_995951_PCE_LV",Gaļas produkti,2.99
Surimi nūjiņas Viči ar kokteiļa mērci dzesētas 200g,117.4,4.5,0.4,11.7,3.8,7.4,1.4,13.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4001851_PCE_LV",Gaļas produkti,2.79
IKRI FOREĻU TILAUDI 250G STIKLS,149.1,10,1.7,1.3,0,25,2.5,115.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_996222_PCE_LV",Gaļas produkti,28.99
Zivju kotletes Dagi ceptas ar surimi 300g,152.7,6.9,1.2,9.4,0.4,13.2,0.7,13.3,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003021_PCE_LV",Gaļas produkti,3.99
Cūkas krūtiņa grilam Rgk 425g,395.1,40,12.5,0.7,0.4,9.5,1.5,11.74,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_272179_PCE_LV",Gaļas produkti,4.99
Cāļa šķiņķu steiks ķiršu marinādē 500g,175.0,11.3,2.3,2,1.5,16.5,1.2,9.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_2000591_PCE_LV",Gaļas produkti,4.99
Atlantijas sardīnes Banga tomātu mērcē 240g,170.9,10,2,5.4,5,14,1.4,7.88,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003019_PCE_LV",Gaļas produkti,1.89
